"","Estimate","StdError","LowerBound","UpperBound","Isolate","Set"
"e:1:50211",0.340996292522312,0.125444252171499,0.073618198238285,0.60837438680634,"Czm_21_138",2
"e:1:50221",0.389669544835365,0.0742953166299491,0.23131282596724,0.548026263703489,"Czm_21_218",2
"e:1:50231",0.0953548963893483,0.0375945603762537,0.0152239877598628,0.175485805018834,"Czm_21_219",2
"e:1:50241",0.234377438114775,0.0723438535905039,0.080180164255253,0.388574711974298,"Czm_21_220",2
"e:1:50251",0.280672084337488,0.0201664046247552,0.237688410364479,0.323655758310497,"Czm_21_221",2
"e:1:50261",0.477153803651053,0.0408484510776108,0.390087391164859,0.564220216137247,"Czm_21_222",2
"e:1:50271",0.413330947221094,0.0476869397929989,0.31168864107017,0.514973253372017,"Czm_21_223",2
"e:1:50281",0.144308251322607,0.0211205096767698,0.0992909505700655,0.189325552075149,"Czm_21_35",2
"e:1:50291",0.532979507522065,0.0611452848028525,0.402651418015902,0.663307597028228,"Czm_21_36",2
"e:1:50301",0.479276819857006,0.128191338424429,0.206043449827558,0.752510189886454,"Czm_21_37",2
"e:1:50311",0.153359843002406,0.0217869685109371,0.106922018870644,0.199797667134168,"Czm_21_38",2
"e:1:50321",0.510845417253929,0.0642280891451924,0.373946485833236,0.647744348674622,"Czm_21_39",2
"e:1:50331",0.293082285472719,0.0502427491814383,0.185992400562269,0.400172170383169,"Czm_21_40",2
"e:1:50341",0.376868900048703,0.162611758685535,0.0302701408957444,0.723467659201662,"Czm_21_96",2
"e:1:50351",0.195276618139762,0.0374415441399796,0.115471855897546,0.275081380381978,"Czm_21_97",2
"e:1:50361",0.561770723828578,0.0413827519837059,0.473565475918895,0.64997597173826,"Czm_21_98",2
"e:1:50371",0.154598579819276,0.0221200681574747,0.107450770597276,0.201746389041277,"Czm_21_99",2
"e:1:50381",1.14612190991544,0.128196923229139,0.872876636156535,1.41936718367435,"GLS_20_70",2
"e:1:50391",0.771238696120053,0.089582594067637,0.580297916704522,0.962179475535584,"GLS_20_72",2
"e:1:50401",1.26296520637197,0.328536347073764,0.562706558701731,1.96322385404221,"GLS_20_75",2
"e:1:50411",2.46905894845925,0.248741547619688,1.93887888982343,2.99923900709507,"GLS_20_79",2
"e:1:50421",2.33052426850022,0.238540407381508,1.82208742558926,2.83896111141117,"GLS_21_244A",2
"e:1:50431",0.497304019101229,0.077094212027356,0.332981595910232,0.661626442292226,"GLS_21_245A",2
"e:1:50441",5.46313924616561,1.03978636245204,3.24688707643796,7.67939141589326,"GLS_21_254",2
"e:1:50451",3.26477506953996,0.34098816313966,2.53797600417467,3.99157413490525,"GLS_21_256",2
