"","Estimate","StdError","LowerBound","UpperBound","Isolate"
"e:1:5025",0.495409884449905,0.0598548024240177,0.367832393023662,0.622987375876147,"Czm_20_55"
"e:1:5026",0.128715331772598,0.0196276056960506,0.0868800805313241,0.170550583013871,"Czm_20_56"
"e:1:5027",0.616602374843009,0.128585514368976,0.342528838675686,0.890675911010332,"Czm_20_59"
"e:1:5028",0.405537581925083,0.0501689649376503,0.298604964407524,0.512470199442642,"Czm_20_6"
"e:1:5029",0.777935985191124,0.0881092965913963,0.5901354650118,0.965736505370447,"Czm_20_60"
"e:1:5030",0.374312852957528,0.0833089915243111,0.196743940831992,0.551881765083064,"Czm_20_62"
"e:1:5031",0.173201288899752,0.0225565509236089,0.12512313868423,0.221279439115275,"Czm_20_65"
"e:1:5032",0.380383225596745,0.109648579107184,0.146672811487462,0.614093639706027,"Czm_20_66"
"e:1:5033",0.0963487913474109,0.117693025287908,-0.154507953918055,0.347205536612876,"Czm_20_7"
"e:1:5034",0.405169322055222,0.10996020607079,0.170794690795977,0.639543953314466,"Czm_20_70"
"e:1:5035",0.218473189128963,0.0284822630558368,0.157764682482086,0.279181695775841,"Czm_20_72"
"e:1:5036",0.532760229063865,0.0838032008680298,0.354137934657249,0.711382523470482,"Czm_20_73"
"e:1:5037",0.548762820360446,0.02930531059026,0.486300029420348,0.611225611300544,"Czm_20_74"
"e:1:5038",0.916272377124005,0.159151485700456,0.577049015252604,1.25549573899541,"Czm_20_75"
"e:1:5039",0.562095251560265,0.0458385104375624,0.464392779318985,0.659797723801544,"Czm_20_76"
"e:1:5040",0.212185709257049,0.226196273347681,-0.269940234777181,0.694311653291279,"Czm_20_77"
"e:1:5041",0.316077243653497,0.03605068394935,0.239237029732536,0.392917457574458,"Czm_20_78"
"e:1:5042",0.322225665621993,0.0614719732614538,0.191201256149204,0.453250075094781,"Czm_20_79"
"e:1:5043",0.504835879369886,0.141740735048296,0.202722654063886,0.806949104675887,"Czm_20_80"
"e:1:5044",0.437362525310065,0.0695911208758626,0.289032562344212,0.585692488275918,"Czm_20_81"
"e:1:5045",0.749491077928674,0.490051302140599,-0.295028547319883,1.79401070317723,"Czm_20_82"
"e:1:5046",0.319906979373159,0.091453885612968,0.124977636443723,0.514836322302596,"Czm_20_85"
