"","Isolate","Set","rep","ppm","one","two","average_length","avgC","relative"
"721","Czm_20_77","1",1,0,8.21,7.97,7.09,6.71,1.05663189269747
"722","Czm_20_77","1",1,0.01,5.79,5.04,4.415,6.71,0.657973174366617
"723","Czm_20_77","1",1,0.1,5.02,5.81,4.415,6.71,0.657973174366617
"724","Czm_20_77","1",1,0.5,3.26,3.08,2.17,6.71,0.323397913561848
"725","Czm_20_77","1",1,1,3.02,3.12,2.07,6.71,0.30849478390462
"726","Czm_20_77","1",1,2.5,1,1,0,6.71,0
"727","Czm_20_77","1",1,5,1,1,0,6.71,0
"728","Czm_20_77","1",1,10,1,1,0,6.71,0
"729","Czm_20_77","1",1,20,1,1,0,6.71,0
"730","Czm_20_77","1",2,0,6.88,7.78,6.33,6.71,0.943368107302534
"731","Czm_20_77","1",2,0.01,5.66,6.06,4.86,6.71,0.724292101341282
"732","Czm_20_77","1",2,0.1,4.06,4.5,3.28,6.71,0.488822652757079
"733","Czm_20_77","1",2,0.5,5.73,5.36,4.545,6.71,0.677347242921013
"734","Czm_20_77","1",2,1,2.14,2.71,1.425,6.71,0.212369597615499
"735","Czm_20_77","1",2,2.5,1,1,0,6.71,0
"736","Czm_20_77","1",2,5,1,1,0,6.71,0
"737","Czm_20_77","1",2,10,1,1,0,6.71,0
"738","Czm_20_77","1",2,20,1,1,0,6.71,0
"739","Czm_20_78","1",1,0,7.12,6.75,5.935,6.255,0.948840927258194
"740","Czm_20_78","1",1,0.01,8.7,8.51,7.605,6.255,1.2158273381295
"741","Czm_20_78","1",1,0.1,7.21,7.1,6.155,6.255,0.984012789768185
"742","Czm_20_78","1",1,0.5,2.58,2.86,1.72,6.255,0.27498001598721
"743","Czm_20_78","1",1,1,1.88,2.15,1.015,6.255,0.162270183852918
"744","Czm_20_78","1",1,2.5,1,1,0,6.255,0
"745","Czm_20_78","1",1,5,1,1,0,6.255,0
"746","Czm_20_78","1",1,10,1,1,0,6.255,0
"747","Czm_20_78","1",1,20,1,1,0,6.255,0
"748","Czm_20_78","1",2,0,7.63,7.52,6.575,6.255,1.05115907274181
"749","Czm_20_78","1",2,0.01,5.91,7.77,5.84,6.255,0.93365307753797
"750","Czm_20_78","1",2,0.1,7.03,6.54,5.785,6.255,0.924860111910472
"751","Czm_20_78","1",2,0.5,2.65,2.35,1.5,6.255,0.239808153477218
"752","Czm_20_78","1",2,1,1.56,1.73,0.645,6.255,0.103117505995204
"753","Czm_20_78","1",2,2.5,1,1,0,6.255,0
"754","Czm_20_78","1",2,5,1,1,0,6.255,0
"755","Czm_20_78","1",2,10,1,1,0,6.255,0
"756","Czm_20_78","1",2,20,1,1,0,6.255,0
"757","Czm_20_79","1",1,0,7.81,7.46,6.635,6.3625,1.04282907662083
"758","Czm_20_79","1",1,0.01,7.32,7.36,6.34,6.3625,0.996463654223969
"759","Czm_20_79","1",1,0.1,6.82,6.3,5.56,6.3625,0.873870333988212
"760","Czm_20_79","1",1,0.5,2.38,2.24,1.31,6.3625,0.205893909626719
"761","Czm_20_79","1",1,1,2.4,3.35,1.875,6.3625,0.294695481335953
"762","Czm_20_79","1",1,2.5,1,1,0,6.3625,0
"763","Czm_20_79","1",1,5,1,1,0,6.3625,0
"764","Czm_20_79","1",1,10,1,1,0,6.3625,0
"765","Czm_20_79","1",1,20,1,1,0,6.3625,0
"766","Czm_20_79","1",2,0,6.9,7.28,6.09,6.3625,0.957170923379175
"767","Czm_20_79","1",2,0.01,4.66,6.17,4.415,6.3625,0.693909626719057
"768","Czm_20_79","1",2,0.1,6.5,6.9,5.7,6.3625,0.895874263261297
"769","Czm_20_79","1",2,0.5,2.96,3.45,2.205,6.3625,0.346561886051081
"770","Czm_20_79","1",2,1,1.14,1,0.0699999999999998,6.3625,0.0110019646365422
"771","Czm_20_79","1",2,2.5,1,1,0,6.3625,0
"772","Czm_20_79","1",2,5,1,1,0,6.3625,0
