Isolate,Date,MIC_ppm
GLS_21_157A,5/5/2022,>20
GLS_21_157B,5/5/2022,>20
GLS_21_162,5/5/2022,>20
GLS_21_163,5/5/2022,>20
GLS_21_164A,5/5/2022,>20
GLS_21_164B,5/5/2022,>20
GLS_21_165,5/5/2022,>20
GLS_21_168,5/5/2022,>20
GLS_21_177,5/5/2022,>20
GLS_21_180,5/5/2022,>20
GLS_21_200,5/5/2022,>20
GLS_21_214,5/5/2022,>20
GLS_21_218,5/5/2022,>20
GLS_21_231A,5/5/2022,>20
GLS_21_231B,5/5/2022,20
GLS_21_231C,5/5/2022,>20
GLS_21_233A,5/12/2022,>20
GLS_21_233B,5/12/2022,>20
GLS_21_238,5/12/2022,>20
GLS_21_238A,5/19/2022,>20
GLS_21_238B,5/19/2022,>20
GLS_21_244A,5/12/2022,>20
GLS_21_244B,5/12/2022,>20
GLS_21_245A,5/12/2022,20
GLS_21_245B,5/12/2022,>20
GLS_21_254,5/12/2022,>20
GLS_21_256,5/12/2022,>20
GLS_21_256A,5/19/2022,>20
GLS_21_256B,5/19/2022,>20
GLS_21_261A,5/12/2022,>20
GLS_21_261B,5/12/2022,>20
GLS_21_270A,5/19/2022,>20
GLS_21_270B,5/19/2022,>20
GLS_21_271A,5/19/2022,>20
GLS_21_271B,5/19/2022,>20
GLS_21_271C,5/19/2022,>20
GLS_21_271D,5/19/2022,>20
GLS_21_275,5/19/2022,>20
